device_id,latitude,longitude,accuracy,provider,timestamp_iso,timestamp_raw,received_at,raw_json
ld,17.7196361,75.918497,40,fused,2025-11-21T06:10:04+00:00,1763705404,2025-11-21T06:19:48.977613+00:00,"{""_type"": ""location"", ""_id"": ""e09a9a42"", ""acc"": 40, ""alt"": 409, ""batt"": 63, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1763705409, ""lat"": 17.7196361, ""lon"": 75.918497, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705404, ""vac"": 1, ""vel"": 0}"
ld,17.7196587,75.918473,30,fused,2025-11-21T06:10:12+00:00,1763705412,2025-11-21T06:19:49.009757+00:00,"{""_type"": ""location"", ""_id"": ""f8eff407"", ""acc"": 30, ""alt"": 409, ""batt"": 63, ""bs"": 1, ""cog"": 315, ""conn"": ""m"", ""created_at"": 1763705414, ""lat"": 17.7196587, ""lon"": 75.918473, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705412, ""vac"": 1, ""vel"": 1}"
ld,17.7196652,75.9183603,36,fused,2025-11-21T06:10:28+00:00,1763705428,2025-11-21T06:19:49.038904+00:00,"{""_type"": ""location"", ""_id"": ""21269ee3"", ""acc"": 36, ""alt"": 410, ""batt"": 63, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1763705428, ""lat"": 17.7196652, ""lon"": 75.9183603, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705428, ""vac"": 3, ""vel"": 0}"
ld,17.7196671,75.9185602,35,fused,2025-11-21T06:10:46+00:00,1763705446,2025-11-21T06:19:49.064926+00:00,"{""_type"": ""location"", ""_id"": ""01bb2daa"", ""acc"": 35, ""alt"": 409, ""batt"": 62, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1763705448, ""lat"": 17.7196671, ""lon"": 75.9185602, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705446, ""vac"": 1, ""vel"": 0}"
ld,17.7196534,75.9184229,24,fused,2025-11-21T06:11:02+00:00,1763705462,2025-11-21T06:19:49.086795+00:00,"{""_type"": ""location"", ""_id"": ""1636cf1b"", ""acc"": 24, ""alt"": 409, ""batt"": 62, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1763705462, ""lat"": 17.7196534, ""lon"": 75.9184229, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705462, ""vac"": 1, ""vel"": 0}"
ld,17.7196646,75.9183992,22,fused,2025-11-21T06:11:14+00:00,1763705474,2025-11-21T06:19:49.111081+00:00,"{""_type"": ""location"", ""_id"": ""cf2322e2"", ""acc"": 22, ""alt"": 410, ""batt"": 62, ""bs"": 1, ""cog"": 0, ""conn"": ""m"", ""created_at"": 1763705474, ""lat"": 17.7196646, ""lon"": 75.9183992, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705474, ""vac"": 2, ""vel"": 0}"
ld,17.7196623,75.9184007,21,fused,2025-11-21T06:11:19+00:00,1763705479,2025-11-21T06:19:49.164018+00:00,"{""_type"": ""location"", ""_id"": ""d21f76c7"", ""acc"": 21, ""alt"": 410, ""batt"": 62, ""bs"": 1, ""cog"": 168, ""conn"": ""m"", ""created_at"": 1763705480, ""lat"": 17.7196623, ""lon"": 75.9184007, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705479, ""vac"": 2, ""vel"": 0}"
ld,17.7196531,75.9184682,26,fused,2025-11-21T06:11:25+00:00,1763705485,2025-11-21T06:19:49.233020+00:00,"{""_type"": ""location"", ""_id"": ""3e872ba5"", ""acc"": 26, ""alt"": 409, ""batt"": 62, ""bs"": 1, ""cog"": 166, ""conn"": ""m"", ""created_at"": 1763705486, ""lat"": 17.7196531, ""lon"": 75.9184682, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705485, ""vac"": 2, ""vel"": 0}"
ld,17.7196336,75.9185686,25,fused,2025-11-21T06:11:37+00:00,1763705497,2025-11-21T06:19:49.271522+00:00,"{""_type"": ""location"", ""_id"": ""56aad0e6"", ""acc"": 25, ""alt"": 409, ""batt"": 62, ""bs"": 1, ""cog"": 102, ""conn"": ""m"", ""created_at"": 1763705497, ""lat"": 17.7196336, ""lon"": 75.9185686, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705497, ""vac"": 2, ""vel"": 3}"
ld,17.7196029,75.9186491,17,fused,2025-11-21T06:11:49+00:00,1763705509,2025-11-21T06:19:49.304966+00:00,"{""_type"": ""location"", ""_id"": ""39c1eda9"", ""acc"": 17, ""alt"": 410, ""batt"": 62, ""bs"": 1, ""cog"": 112, ""conn"": ""m"", ""created_at"": 1763705509, ""lat"": 17.7196029, ""lon"": 75.9186491, ""m"": 2, ""source"": ""fused"", ""tid"": ""ld"", ""topic"": ""owntracks/user/gold"", ""tst"": 1763705509, ""vac"": 2, ""vel"": 2}"
